Cell,TSS,TA,Anth,BW,Output,Fuzzy evaluation,Expert evaluation,Agreement of evaluation (%),Year
1.1,21.9,7.1,579,1.97,0.411,66.7 % in poor and 33.3 % in average,average,33.3,2010
1.2,19.8,6.8,767,1.77,0.509,100 % average,average,100,2010
1.3,20.3,8.1,574,1.89,0.502,100 % average,poor,0,2010
1.4,21.4,8,511,2.3,0.245,36.17 % in very poor and 63.83 % in poor,poor,63.83,2010
1.5,22.5,7.4,656,1.93,0.531,100 % average,average,100,2010
1.6,22.7,8.9,555,1.97,0.475,100 % average,average,100,2010
2.1,22.4,7.1,497,2.12,0.195,10.64 % in poor and 89.36 % very poor,poor,10.64,2010
2.2,23.3,10.5,588,1.89,0.602,67.18 % in average and 32.82 % good,average,67.18,2010
2.3,20.9,6.2,683,1.91,0.414,3.1 % in poor and 96.9 % in average,poor,3.1,2010
2.4,21.8,8.9,611,1.85,0.599,89.92 % in average and 10.80 % in good,good,10.8,2010
2.5,21.5,7.1,583,1.67,0.482,100 % average,average,100,2010
2.6,21.3,6.5,532,1.85,0.299,100 % poor,poor,100,2010
3.1,18.7,5.3,642,1.66,0.291,100 % poor,poor,100,2010
3.2,21.5,4.7,579,1.83,0.322,100 % poor,poor,100,2010
3.3,20.3,7.1,599,1.89,0.4,81.82 % in poor and 18.18 in average,poor,81.82,2010
3.4,23,6.3,744,2,0.395,24.68 % in average and 75.32 % in poor,average,24.68,2010
3.5,21,5.3,842,2.05,0.389,95.47 % in poor and 4.53 % average,average,4.53,2010
3.6,22.4,5.9,669,2.03,0.352,100 % poor,poor,100,2010
4.1,20.8,3.9,586,1.34,0.338,100 % poor,poor,100,2010
4.2,22.3,6.5,688,1.64,0.559,100 % average,average,100,2010
4.3,21.1,5.6,723,1.78,0.45,76.82 % in average and 23.18 in poor,average,76.82,2010
4.4,21.7,6.3,735,1.89,0.48,100 % average,average,100,2010
4.5,20.9,5.3,859,1.41,0.721,100 % good,good,100,2010
4.6,19.4,8.4,455,1.9,0.361,100 % poor,poor,100,2010
