TSS,TA,Anth,BW,GTQ
21.9,7.1,579,1.97,3
19.8,6.8,767,1.77,3
20.3,8.1,574,1.89,2
21.4,8,511,2.3,2
22.5,7.4,656,1.93,3
22.7,8.9,555,1.97,3
22.4,7.1,497,2.12,2
23.3,10.5,588,1.89,3
20.9,6.2,683,1.91,2
21.8,8.9,611,1.85,4
21.5,7.1,583,1.67,3
21.3,6.5,532,1.85,2
18.7,5.3,642,1.66,2
21.5,4.7,579,1.83,2
20.3,7.1,599,1.89,2
23,6.3,744,2,3
21,5.3,842,2.05,3
22.4,5.9,669,2.03,2
20.8,3.9,586,1.34,2
22.3,6.5,688,1.64,3
21.1,5.6,723,1.78,3
21.7,6.3,735,1.89,3
20.9,5.3,859,1.41,4
19.4,8.4,455,1.9,2
19.5,4.7,882,1.44,3
21,6.2,772,1.46,3
19,5.9,527,1.84,1
21.4,4.8,700,1.46,3
19.2,5.9,641,1.72,2
21.7,7.4,716,1.65,4
23.3,5,812,1.68,3
22,6,705,1.65,3
20.3,5.3,641,1.78,2
20.8,4.7,663,1.88,2
21.2,4.5,543,1.67,2
21.6,4.2,739,1.75,2
22.7,6.3,1085,1.62,5
22,4.4,898,1.76,3
22,3.5,1013,2.04,4
21.6,4.2,648,1.84,2
22,7.1,355,1.94,3
24.7,7.2,607,1.89,3
22.1,7.7,420,1.73,3
20.3,4.7,618,1.6,2
23.4,7.4,907,1.77,5
26.4,7.1,669,1.8,4
22.1,5.1,637,2.03,2
22.4,9.6,543,1.75,3
24,6.5,963,1.76,4
22.1,6,959,1.75,4
22.8,6.3,819,1.77,4
23,6.6,621,1.81,3
23.2,6.3,751,1.8,3
24.7,6.9,558,1.93,3
22.7,6.5,700,1.84,3
22.5,6.6,749,1.81,3
25.2,6.5,905,1.5,5
24.4,7.2,821,1.87,4
23.9,6.6,959,1.96,4
24.5,6.8,669,1.93,3
21.9,5.9,756,1.65,3
22.1,5.7,872,1.87,4
23.9,6.8,695,1.59,4
26.8,7.3,1029,1.64,5
25,6.6,1033,1.53,5
23.3,6.6,807,1.82,4
21.1,5.6,1094,1.74,4
22.4,5.6,1036,2,4
22.7,6,964,1.76,4
22.5,5.3,893,1.75,4
22.6,5.6,1181,1.64,5
24,6.8,651,1.75,3
20.1,6.2,845,1.63,3
21.9,5.5,908,1.88,4
22.2,6.8,921,1.53,5
23,6.6,1073,1.54,5
22.8,6.5,975,1.54,5
20.2,6.2,803,1.84,3
20.4,5.7,711,1.91,2
20.4,5.7,854,1.78,3
23.7,6.2,830,1.83,4
23.8,7.1,935,1.91,4
24.3,5.9,782,1.7,3
21.8,6.3,697,1.84,3
23.5,4.8,837,2.23,2
22.5,6,795,1.96,3
22.3,6.2,698,2.02,2
21.8,5.3,833,1.83,4
22.9,5.9,683,2.07,2
22,5.8,686,2.23,2
21.6,6.3,816,1.93,4
22.9,6.1,793,1.87,3
21.4,5.7,663,1.95,3
24.8,5.6,791,2.14,2
23,5.9,553,1.89,2
22.3,6.3,579,2.18,1
