timestamp,level,stage,message,name,value
19:40:09.863,Info,Workflow,Project: scenario-A_07102019_194009,NA,NA
19:40:09.864,Info,Workflow,AutoML job created: 2019.10.07 19:40:09.858,creation_epoch,1570477210
19:40:09.864,Info,ModelTraining,Disabling Algo: DeepLearning as requested by the user.,NA,NA
19:40:09.864,Info,ModelTraining,Disabling Algo: StackedEnsemble as requested by the user.,NA,NA
19:40:09.864,Info,Workflow,Build control seed: 93,NA,NA
19:40:09.866,Info,DataImport,training frame: Frame key: automl_training_train_data.hex_sid_89bf_1    cols: 5    rows: 96  chunks: 1    size: 964  checksum: 1273528470506617992,NA,NA
19:40:09.866,Info,DataImport,validation frame: NULL,NA,NA
19:40:09.866,Info,DataImport,leaderboard frame: NULL,NA,NA
19:40:09.866,Info,DataImport,response column: GTQ,NA,NA
19:40:09.867,Info,DataImport,fold column: null,NA,NA
19:40:09.867,Info,DataImport,weights column: null,NA,NA
19:40:09.938,Info,Workflow,Setting stopping tolerance adaptively based on the training frame: 0.05,NA,NA
19:40:09.950,Info,Workflow,AutoML build started: 2019.10.07 19:40:09.947,start_epoch,1570477210
19:40:09.958,Debug,ModelTraining,XGBoost_1_AutoML_20191007_194009 started,NA,NA
19:40:12.959,Debug,ModelTraining,XGBoost_1_AutoML_20191007_194009 complete,NA,NA
19:40:12.961,Info,ModelTraining,"New leader: XGBoost_1_AutoML_20191007_194009, rmse: 0.40694792942146846",NA,NA
19:40:12.962,Debug,ModelTraining,XGBoost_2_AutoML_20191007_194009 started,NA,NA
19:40:14.962,Debug,ModelTraining,XGBoost_2_AutoML_20191007_194009 complete,NA,NA
19:40:14.965,Debug,ModelTraining,XGBoost_3_AutoML_20191007_194009 started,NA,NA
19:40:16.965,Debug,ModelTraining,XGBoost_3_AutoML_20191007_194009 complete,NA,NA
19:40:16.966,Info,ModelTraining,"New leader: XGBoost_3_AutoML_20191007_194009, rmse: 0.3956675160929176",NA,NA
19:40:16.967,Info,ModelTraining,AutoML: starting GLM hyperparameter search,NA,NA
19:40:16.984,Debug,ModelTraining,GLM hyperparameter search started,NA,NA
19:40:17.985,Debug,ModelTraining,Built: 1 models for search: GLM hyperparameter search,NA,NA
19:40:17.985,Debug,ModelTraining,GLM hyperparameter search complete,NA,NA
19:40:17.987,Debug,ModelTraining,Default Random Forest build started,NA,NA
19:40:18.987,Debug,ModelTraining,Default Random Forest build complete,NA,NA
19:40:18.989,Debug,ModelTraining,GBM 1 started,NA,NA
19:40:19.989,Debug,ModelTraining,GBM 1 complete,NA,NA
