model_id,mean_residual_deviance,rmse,mse,mae,rmsle
XGBoost_grid_1_model_9,0.156481549880933,0.395577489097816,0.156481549880933,0.310495595137278,0.105715627717673
XGBoost_3,0.156552783291139,0.395667516092918,0.156552783291139,0.308999815334876,0.107227967491412
XGBoost_grid_1_model_7,0.15938580763489,0.399231521344308,0.15938580763489,0.306690288086732,0.105986730356108
GBM_2,0.165128767590353,0.40636039126661,0.165128767590353,0.327563820642857,0.108174962741627
XGBoost_1,0.16560661726042,0.406947929421468,0.16560661726042,0.308044688155254,0.109283449215467
GBM_grid_1_model_77,0.166987930141993,0.408641566830876,0.166987930141993,0.3247938719015,0.109661053485684
XGBoost_grid_1_model_11,0.167876389245852,0.409727213211244,0.167876389245852,0.312854272623857,0.108667684822468
XGBoost_grid_1_model_28,0.168460414298736,0.410439294291782,0.168460414298736,0.315638401856025,0.109531484633298
XGBoost_grid_1_model_15,0.172673862242947,0.41554044597722,0.172673862242947,0.318503109117349,0.108845833021655
GBM_grid_1_model_24,0.18015953306324,0.424452038590039,0.18015953306324,0.334180698521493,0.113040040345469
XGBoost_grid_1_model_12,0.180235385993935,0.424541383134713,0.180235385993935,0.327736925333738,0.113048623648414
GBM_grid_1_model_35,0.181558135009313,0.426096391687741,0.181558135009313,0.334979081850388,0.113073060841933
GBM_grid_1_model_38,0.182372461383345,0.427050888517218,0.182372461383345,0.350201556843498,0.111464248711885
XGBoost_grid_1_model_26,0.185983972022627,0.431258590665308,0.185983972022627,0.323801122605801,0.11311027953663
XGBoost_grid_1_model_17,0.188539880608336,0.434211792341406,0.188539880608336,0.346982060621182,0.114533848253723
GBM_4,0.189893206039543,0.435767376061521,0.189893206039543,0.34639909867143,0.117273157735053
XGBoost_grid_1_model_1,0.19131633839162,0.437397231806078,0.19131633839162,0.347346391528845,0.115390329636957
GBM_grid_1_model_20,0.192830978226907,0.439125242074408,0.192830978226907,0.349900085631534,0.116914169880611
XGBoost_grid_1_model_14,0.19380404709966,0.440231810640326,0.19380404709966,0.325321968644857,0.118721028976288
GBM_3,0.194009672669843,0.440465291106851,0.194009672669843,0.357337516602604,0.117479347287703
GBM_grid_1_model_81,0.196843127561566,0.443670066109453,0.196843127561566,0.362332714238103,0.117947907198987
XGBoost_grid_1_model_23,0.202259245988752,0.449732415986164,0.202259245988752,0.348827982942263,0.12064123474307
XGBoost_grid_1_model_3,0.203916129157101,0.451570735496778,0.203916129157101,0.33510647341609,0.120455055910178
XGBoost_2,0.205706756228156,0.453549067056869,0.205706756228156,0.354746083418528,0.120569241944341
XGBoost_grid_1_model_8,0.20608148580398,0.453961987179521,0.20608148580398,0.343116924166679,0.122183227607222
XGBoost_grid_1_model_25,0.207517109849631,0.455540459069917,0.207517109849631,0.342728269596895,0.122399847825272
XGBoost_grid_1_model_4,0.207557456148853,0.455584740908706,0.207557456148853,0.358624254663785,0.121206827132622
XGBoost_grid_1_model_6,0.208562425263222,0.456686353270187,0.208562425263222,0.358120643844207,0.123604835196456
GBM_1,0.20892107299499801,0.457078847678382,0.20892107299499801,0.354139005454848,0.122497324071309
GLM_grid_1_model_1,0.215099253198014,0.463787939901432,0.215099253198014,0.357151130635923,0.123454620459083
XGBoost_grid_1_model_22,0.215588653637406,0.464315252428138,0.215588653637406,0.375353969633579,0.125233340641691
GBM_grid_1_model_66,0.216658267609512,0.46546564600356,0.216658267609512,0.369535704567594,0.120233831823549
GBM_grid_1_model_51,0.220491509512385,0.469565234565321,0.220491509512385,0.378504495933647,0.125188672798381
GBM_grid_1_model_60,0.233340646333785,0.483053461154959,0.233340646333785,0.370869521457858,0.129783296226289
XGBoost_grid_1_model_20,0.236456672577478,0.48626810771166,0.236456672577478,0.370857711881399,0.129369534816301
XGBoost_grid_1_model_18,0.236491477120989,0.486303893795833,0.236491477120989,0.372537548343341,0.13051141670468
GBM_grid_1_model_31,0.237357121056792,0.487193104484035,0.237357121056792,0.373811551395463,0.130336432298198
XGBoost_grid_1_model_5,0.240177844237556,0.490079426458156,0.240177844237556,0.400308462480704,0.132094396790436
GBM_grid_1_model_49,0.241668888786737,0.491598300227673,0.241668888786737,0.378905257734586,0.13190778745828
GBM_grid_1_model_65,0.244547412998479,0.494517353586787,0.244547412998479,0.400936529776504,0.132246494462982
XGBoost_grid_1_model_16,0.244916877250947,0.494890773050929,0.244916877250947,0.351869768152634,0.133803946435075
DRF_1,0.245490125390127,0.495469600873885,0.245490125390127,0.387609127000684,0.132112297004564
GBM_grid_1_model_75,0.250433997374319,0.500433809183911,0.250433997374319,0.397098584868398,0.127924845447928
GBM_grid_1_model_71,0.252857873784353,0.502849752693936,0.252857873784353,0.402378639662408,0.136239104510984
GBM_grid_1_model_33,0.258697079152,0.508622727718689,0.258697079152,0.409025375054876,0.135524145106129
XGBoost_grid_1_model_13,0.259970619271477,0.509873140370697,0.259970619271477,0.403677545487881,0.135602175057552
GBM_grid_1_model_50,0.265582159165354,0.51534663981184,0.265582159165354,0.420485133827328,0.135165959300474
GBM_grid_1_model_41,0.273308456575757,0.522789112908596,0.273308456575757,0.423106877899934,0.143854242256926
GBM_grid_1_model_21,0.276454614345988,0.525789515249199,0.276454614345988,0.433548959608373,0.143185473274482
XRT_1,0.278055923119058,0.527310082512233,0.278055923119058,0.409226190547148,0.141368585996926
GBM_grid_1_model_14,0.279494757295007,0.528672637172577,0.279494757295007,0.423862413468304,0.14185776160422
GBM_grid_1_model_6,0.286936665188852,0.53566469473809,0.286936665188852,0.43415889021057,0.14343094756247
XGBoost_grid_1_model_24,0.288113608003933,0.536762152171642,0.288113608003933,0.394621024529139,0.130695718572539
GBM_grid_1_model_47,0.29607628058244,0.544128919083006,0.29607628058244,0.424318987271046,0.146433992174937
XGBoost_grid_1_model_10,0.316737846929231,0.562794675640443,0.316737846929231,0.433155108243227,0.1388438000351
GBM_grid_1_model_69,0.324196558099462,0.569382611342726,0.324196558099462,0.428211510718258,0.148401533043197
GBM_grid_1_model_76,0.33522048888372,0.578982287193416,0.33522048888372,0.443290924982378,0.152042593631193
GBM_grid_1_model_29,0.337744382062581,0.581157794460834,0.337744382062581,0.44696504187856,0.155933569319586
GBM_grid_1_model_2,0.346212170500754,0.588397969490679,0.346212170500754,0.461423803656127,0.154813855718226
GBM_grid_1_model_40,0.346947644461263,0.589022617953898,0.346947644461263,0.4653225447842,0.155751527587205
GBM_grid_1_model_11,0.351065963918991,0.592508197343286,0.351065963918991,0.479081128959568,0.155723180074984
GBM_grid_1_model_74,0.351574572470776,0.592937241595412,0.351574572470776,0.464113770661924,0.157618247986421
XGBoost_grid_1_model_2,0.354082263008726,0.595048118229716,0.354082263008726,0.468320759634177,0.155152160942454
GBM_grid_1_model_15,0.35832715676013,0.598604340746148,0.35832715676013,0.469065324361318,0.159608024835879
GBM_grid_1_model_28,0.35908075140199,0.599233469861281,0.35908075140199,0.473818122567039,0.158341184845602
XGBoost_grid_1_model_19,0.364292363243151,0.60356637020559,0.364292363243151,0.492549932251374,0.15741286367959
GBM_grid_1_model_80,0.364594630723757,0.603816719480139,0.364594630723757,0.474138121005181,0.160402745134534
GBM_grid_1_model_4,0.364964401521599,0.604122836450998,0.364964401521599,0.468341849321761,0.157130131134456
GBM_grid_1_model_8,0.371017228571461,0.6091118358491,0.371017228571461,0.489626632832565,0.160383397531581
GBM_grid_1_model_18,0.375810941872104,0.613034209381585,0.375810941872104,0.450367585031776,0.158989577336112
GBM_grid_1_model_70,0.388946931577945,0.623656100409468,0.388946931577945,0.423621804434368,0.172918774791562
GBM_grid_1_model_52,0.39724446529244,0.630273325861439,0.39724446529244,0.517236382672261,0.162804216496657
XGBoost_grid_1_model_27,0.405147898508879,0.636512292504143,0.405147898508879,0.497205341855685,0.157201664670574
GBM_grid_1_model_5,0.464821136795325,0.681777923370451,0.464821136795325,0.513839123825252,0.175658136448862
GBM_grid_1_model_3,0.484533912637979,0.696084702200802,0.484533912637979,0.524552665559378,0.178766082519685
GBM_grid_1_model_39,0.485361026024629,0.696678567220658,0.485361026024629,0.537352441411604,0.180050982427068
GBM_grid_1_model_64,0.492321862689664,0.701656513323766,0.492321862689664,0.586596721043613,0.18257897167135
XGBoost_grid_1_model_21,0.504466111683675,0.710257778333807,0.504466111683675,0.569357432425022,0.178208789182235
GBM_grid_1_model_68,0.51733173866144,0.719257769274298,0.51733173866144,0.536067749178986,0.183965099895325
GBM_grid_1_model_43,0.586073602968177,0.765554441544282,0.586073602968177,0.575811584167618,0.196098052868388
GBM_grid_1_model_27,0.669898093888634,0.818473025755055,0.669898093888634,0.62698983693338906,0.208570171548541
GBM_grid_1_model_62,0.693300671256881,0.832646786612956,0.693300671256881,0.651766577153865,0.212564810712246
GBM_grid_1_model_48,0.697652205461326,0.835255772480098,0.697652205461326,0.634259621169031,0.223671372657785
GBM_grid_1_model_54,0.735914563749802,0.857854628564655,0.735914563749802,0.688017851882687,0.21821204141724
GBM_grid_1_model_22,0.763327397454034,0.873686097779994,0.763327397454034,0.683646467996368,0.221958260577343
GBM_grid_1_model_37,0.772820926939445,0.879102341561803,0.772820926939445,0.69230725494643,0.223229851485378
GBM_grid_1_model_57,0.787993145541799,0.887689780014279,0.787993145541799,0.692943444313929,0.22526304795003
GBM_grid_1_model_46,0.812049165124785,0.90113770597217,0.812049165124785,0.701118544056238,0.228545195079726
GBM_grid_1_model_30,0.813157602374445,0.901752517254288,0.813157602374445,0.708229870719313,0.228383532977369
GBM_grid_1_model_25,0.840261411621559,0.916657739628897,0.840261411621559,0.717352928391475,0.232057867851685
GBM_grid_1_model_34,0.846855688228412,0.920247623321252,0.846855688228412,0.722830864367056,0.232745878076392
GBM_grid_1_model_36,0.847631289403087,0.920668935830403,0.847631289403087,0.717419680037172,0.232950946330247
GBM_grid_1_model_32,0.866160120857044,0.930677237745204,0.866160120857044,0.728038571433432,0.235026036774774
GBM_grid_1_model_13,0.86972340815506,0.932589624730546,0.86972340815506,0.731762006739273,0.235749167804559
GBM_grid_1_model_45,0.88613797171255,0.941349016949904,0.88613797171255,0.736063752577869,0.237772025515818
GBM_grid_1_model_53,0.892741132735954,0.944849793742875,0.892741132735954,0.740185847674825,0.238628427041954
GBM_grid_1_model_79,0.895075498249456,0.946084297644484,0.895075498249456,0.733995839785142,0.238924891970679
GBM_grid_1_model_58,0.928211193085055,0.963437176511813,0.928211193085055,0.752816012694137,0.242774114527977
GBM_grid_1_model_12,0.935278896923268,0.967098183703841,0.935278896923268,0.755185897400671,0.243694536702062
GBM_grid_1_model_73,0.948188395877155,0.973749657703229,0.948188395877155,0.760871664133083,0.245250348895085
