model_id,mean_residual_deviance,rmse,mse,mae,rmsle
XGBoost_1,0.166930927513458,0.408571814389414,0.166930927513458,0.314409203827381,0.110662758064902
XGBoost_grid_1_model_11,0.169530339881833,0.411740622093367,0.169530339881833,0.305557994792859,0.110133647000398
XGBoost_3,0.170092969134999,0.412423288788351,0.170092969134999,0.319924664994081,0.109273369839919
XGBoost_grid_1_model_7,0.173267311543439,0.416253902736586,0.173267311543439,0.317017206301292,0.110934461309952
XGBoost_grid_1_model_9,0.179303862858547,0.423442868470526,0.179303862858547,0.329535396148761,0.111941961463074
GBM_grid_1_model_90,0.180293959977444,0.424610362541288,0.180293959977444,0.355422254021015,0.114010966114995
GBM_4,0.180460487818851,0.424806412167768,0.180460487818851,0.341172449391119,0.113933850890272
GBM_2,0.18586812091032,0.431124252287343,0.18586812091032,0.341543605964044,0.113114818560958
XGBoost_grid_1_model_1,0.189075068056355,0.434827630281649,0.189075068056355,0.339003416399161,0.116831787324452
XGBoost_grid_1_model_6,0.189700504481514,0.435546213944644,0.189700504481514,0.330795125414928,0.113934278095732
GBM_grid_1_model_77,0.191081588075274,0.437128800326945,0.191081588075274,0.341729374128569,0.11749154547912
XGBoost_grid_1_model_12,0.1922643008896,0.438479533033869,0.1922643008896,0.340206979463498,0.115305047507935
GBM_grid_1_model_38,0.19284107845269,0.439136742316889,0.19284107845269,0.361447004710807,0.116397530765185
GBM_3,0.194674292006828,0.441219097509194,0.194674292006828,0.341889294688512,0.118714371276523
GBM_grid_1_model_24,0.200961282452591,0.448287053630362,0.200961282452591,0.344543397554895,0.120080588896414
GBM_grid_1_model_81,0.203755964464127,0.451393358905653,0.203755964464127,0.361361209723738,0.119945565127591
GBM_grid_1_model_20,0.213764144007229,0.462346346375992,0.213764144007229,0.378298907096349,0.124051040319266
XGBoost_grid_1_model_4,0.218265849701932,0.467189308205926,0.218265849701932,0.360877060641845,0.123354520894069
XGBoost_2,0.222229592460027,0.47141233804391097,0.222229592460027,0.366056606173515,0.128773270291707
GLM_grid_1_model_1,0.225230301062829,0.474584345572869,0.225230301062829,0.364820932457374,0.126645479226241
XGBoost_grid_1_model_3,0.228136406215933,0.477636269786888,0.228136406215933,0.357515315214793,0.12897344220624
XGBoost_grid_1_model_8,0.231724865748262,0.481378090224578,0.231724865748262,0.371735432495673,0.126999976095598
GBM_grid_1_model_86,0.232168850925294,0.481839030097495,0.232168850925294,0.370984475842413,0.130022724632353
XGBoost_grid_1_model_5,0.234324532798377,0.484070793168083,0.234324532798377,0.383124793569247,0.130975654631955
GBM_1,0.234661206715642,0.484418421115095,0.234661206715642,0.35912671250901,0.12921078040389
GBM_grid_1_model_35,0.244928708400658,0.494902726200471,0.244928708400658,0.378239519473445,0.131848254522026
GBM_grid_1_model_31,0.259044518803978,0.508964162592984,0.259044518803978,0.406148207180002,0.136737779506827
GBM_grid_1_model_49,0.264150433089447,0.513955672300099,0.264150433089447,0.391559794405298,0.135537691879894
GBM_grid_1_model_33,0.275729784635628,0.525099785408095,0.275729784635628,0.410907139177095,0.147271711367757
DRF_1,0.28108509415237,0.530174588369124,0.28108509415237,0.416517168228273,0.142251703867226
GBM_grid_1_model_51,0.286229743771692,0.535004433413119,0.286229743771692,0.425026855025661,0.145981057645936
GBM_grid_1_model_41,0.288105419413304,0.53675452435289694,0.288105419413304,0.431007046965606,0.145820719720052
GBM_grid_1_model_75,0.305630795694902,0.552838851470211,0.305630795694902,0.4498897343892,0.144555110415747
XRT_1,0.309276915637386,0.556126708257557,0.309276915637386,0.44005456350389,0.148290983682672
GBM_grid_1_model_60,0.316996139618548,0.563024102164861,0.316996139618548,0.438387286673763,0.15357038441037
GBM_grid_1_model_87,0.318190001958165,0.564083328913526,0.318190001958165,0.448277116960675,0.151615969597077
GBM_grid_1_model_65,0.322151738518681,0.567584124618264,0.322151738518681,0.452773416899539,0.151077223899327
GBM_grid_1_model_84,0.326734890020344,0.571607286535384,0.326734890020344,0.451968512325595,0.149232375436916
GBM_grid_1_model_14,0.328249366055994,0.572930507178658,0.328249366055994,0.455462444906856,0.153478605163742
GBM_grid_1_model_66,0.339824790905664,0.582944929565104,0.339824790905664,0.472084437818181,0.160289925371712
GBM_grid_1_model_47,0.343993664817711,0.586509731221666,0.343993664817711,0.453269344974774,0.156804243686399
GBM_grid_1_model_2,0.344577038674136,0.58700684721231,0.344577038674136,0.460604461727864,0.154083349429656
GBM_grid_1_model_50,0.346157668087615,0.588351653424731,0.346157668087615,0.455477469636063,0.15922199896498
XGBoost_grid_1_model_2,0.349815880585059,0.59145234853288,0.349815880585059,0.468716759234667,0.155151325809691
GBM_grid_1_model_69,0.349827303788523,0.591462005363424,0.349827303788523,0.449879770030488,0.154056910127856
GBM_grid_1_model_6,0.351196294136849,0.592618168922325,0.351196294136849,0.468518645974935,0.157830906408183
GBM_grid_1_model_28,0.353646528484577,0.594681871662974,0.353646528484577,0.459801370641814,0.156768495711852
GBM_grid_1_model_76,0.359651367967901,0.599709402934372,0.359651367967901,0.464467799622684,0.156620653934318
GBM_grid_1_model_80,0.360626839230695,0.600522138834777,0.360626839230695,0.46081256475733,0.158320127442328
GBM_grid_1_model_4,0.373195982077866,0.610897685441569,0.373195982077866,0.473914599721434,0.159260444367608
GBM_grid_1_model_71,0.373313169817609,0.610993592288503,0.373313169817609,0.485815762451861,0.160917376986953
XGBoost_grid_1_model_10,0.374231725643551,0.611744820692052,0.374231725643551,0.477079384028912,0.149567105876623
GBM_grid_1_model_29,0.374572377358523,0.61202318367732,0.374572377358523,0.485130178826066,0.156687960656507
GBM_grid_1_model_21,0.379852641619356,0.616321865277678,0.379852641619356,0.475706844306147,0.162390993852838
GBM_grid_1_model_40,0.384160274587493,0.61980664290365,0.384160274587493,0.489960417111079,0.16277193985422
GBM_grid_1_model_74,0.385226596142167,0.62066625181507,0.385226596142167,0.490603090355207,0.161759251234152
GBM_grid_1_model_64,0.395485415941867,0.628876312116991,0.395485415941867,0.500827902003831,0.16653407398943
GBM_grid_1_model_11,0.398084805280771,0.630939620947021,0.398084805280771,0.505294574178088,0.164231256894894
GBM_grid_1_model_15,0.400058916098302,0.632502107584079,0.400058916098302,0.503491322448988,0.166919507449458
GBM_grid_1_model_18,0.436000553440002,0.660303379848992,0.436000553440002,0.498550776605608,0.170133624822648
GBM_grid_1_model_8,0.456468222281989,0.675624320374858,0.456468222281989,0.540255290649303,0.175093678254776
GBM_grid_1_model_39,0.459093520367884,0.677564403114482,0.459093520367884,0.514406080277061,0.174797778324005
GBM_grid_1_model_70,0.460621811948275,0.678691249352955,0.460621811948275,0.470445259918127,0.181800076549652
GBM_grid_1_model_5,0.478330140178681,0.691614155565573,0.478330140178681,0.521222724407874,0.17761229997663
GBM_grid_1_model_3,0.490961514305537,0.70068645934222,0.490961514305537,0.530492049709411,0.179125158039779
GBM_grid_1_model_68,0.513085154782347,0.716299626401094,0.513085154782347,0.538740883724829,0.18373723429251199
GBM_grid_1_model_52,0.551846930509157,0.742864005393422,0.551846930509157,0.581851104626497,0.194989640308477
GBM_grid_1_model_27,0.568008669562761,0.753663498892418,0.568008669562761,0.56928806565133,0.192459004978815
GBM_grid_1_model_62,0.573472771706603,0.75727985032391,0.573472771706603,0.588160453183969,0.19417574545758
GBM_grid_1_model_48,0.581034894481521,0.762256449288244,0.581034894481521,0.550384817724478,0.213893723001771
GBM_grid_1_model_43,0.586073602968177,0.765554441544282,0.586073602968177,0.575811584167618,0.196098052868388
GBM_grid_1_model_22,0.671299862508852,0.819328909845644,0.671299862508852,0.615506976542437,0.208441887518029
GBM_grid_1_model_83,0.709036523720111,0.842043065240793,0.709036523720111,0.680904502268635,0.214336414532067
GBM_grid_1_model_37,0.729744654350151,0.854250931723314,0.729744654350151,0.667926792227301,0.217696696442066
GBM_grid_1_model_30,0.777367672727802,0.88168456532243,0.777367672727802,0.68657518686593,0.223991219313905
GBM_grid_1_model_57,0.787993145541799,0.887689780014279,0.787993145541799,0.692943444313929,0.22526304795003
GBM_grid_1_model_54,0.789462964986089,0.888517284573625,0.789462964986089,0.695194499879067,0.224982786789182
GBM_grid_1_model_25,0.833088701325302,0.912736928871239,0.833088701325302,0.707848786204805,0.231309531118453
GBM_grid_1_model_46,0.846751820892414,0.920191187141245,0.846751820892414,0.719131637262091,0.232941418866933
GBM_grid_1_model_34,0.84700932137055,0.920331093341168,0.84700932137055,0.718468706509161,0.232893440633925
GBM_grid_1_model_32,0.849208002244162,0.921524824540371,0.849208002244162,0.717657958903798,0.232890929041045
GBM_grid_1_model_36,0.858028461820816,0.926298257485577,0.858028461820816,0.721889122880078,0.234287440124239
GBM_grid_1_model_88,0.869394917251456,0.93241349049199,0.869394917251456,0.726929149676723,0.23562555705981
GBM_grid_1_model_53,0.87146955964542006,0.933525339583999,0.87146955964542006,0.727274162646278,0.235929841521386
GBM_grid_1_model_45,0.872371505932403,0.934008300783458,0.872371505932403,0.728540239267249,0.236142092048877
GBM_grid_1_model_13,0.886635983606413,0.941613500119031,0.886635983606413,0.736035455312136,0.238004224148012
GBM_grid_1_model_79,0.90040663824657,0.948897591021587,0.90040663824657,0.737299717778516,0.239645873042261
GBM_grid_1_model_58,0.928130754533683,0.963395429994186,0.928130754533683,0.752447268578598,0.242782499053678
GBM_grid_1_model_12,0.938299744140479,0.968658734612185,0.938299744140479,0.756867530321527,0.244043389303445
GBM_grid_1_model_73,0.949690110969227,0.974520451796281,0.949690110969227,0.760856795359787,0.245430829486901
GBM_grid_1_model_16,0.951299132873152,0.975345647897786,0.951299132873152,0.76216789258975,0.245607633062077
GBM_grid_1_model_85,0.958293929257092,0.978924884379334,0.958293929257092,0.764599947528897,0.246443442321942
