model,item,feature,value,shap_value,expected_value
DRF_1,1,Anth,299,-0.5155975877192971,2.5889802631578958
DRF_1,2,Anth,544,-0.47465995718462795,2.6299178936925647
DRF_1,3,Anth,522,-0.5647412802840427,2.53983657059315
DRF_1,4,Anth,478,-0.5438413742690055,2.560736476608187
DRF_1,5,Anth,588,-0.42970838554720103,2.6748694653299916
DRF_1,6,Anth,677,-0.35531145572263956,2.749266395154553
DRF_1,7,Anth,639,-0.3855171783625725,2.7190606725146202
DRF_1,8,Anth,494,-0.5824039264828733,2.5221739243943193
DRF_1,9,Anth,609,-0.38279226712614817,2.7217855837510445
DRF_1,10,Anth,565,-0.413633040935672,2.6909448099415205
DRF_1,11,Anth,655,-0.3571343723893061,2.7474434784878863
DRF_1,12,Anth,861,0.5237116228070193,3.628289473684212
DRF_1,13,Anth,642,-0.420915570175438,2.6836622807017547
DRF_1,14,Anth,436,-0.5828196794068492,2.5217581714703434
DRF_1,15,Anth,576,-0.4317114400584785,2.672866410818714
DRF_1,16,Anth,506,-0.5142224049707592,2.5903554459064333
DRF_1,17,Anth,749,-0.169206871345028,2.9353709795321645
DRF_1,18,Anth,571,-0.4125802788220546,2.691997572055138
DRF_1,19,Anth,761,-0.1155610380116951,2.9890168128654975
DRF_1,20,Anth,499,-0.67063948934837,2.4339383615288224
DRF_1,21,Anth,754,-0.04884411549707597,3.055733735380117
DRF_1,22,Anth,725,-0.19353983918128662,2.911038011695906
DRF_1,23,Anth,833,0.4581597222222227,3.5627375730994153
DRF_1,24,Anth,830,0.45105080409356857,3.555628654970761
DRF_1,25,Anth,933,0.7190058479532141,3.8235836988304066
DRF_1,26,Anth,613,-0.48446180555555485,2.620116045321638
DRF_1,27,Anth,548,-0.45928623642439365,2.645291614452799
DRF_1,28,Anth,765,0.005514437134502739,3.1100922880116952
DRF_1,29,Anth,683,-0.29597496345029184,2.808602887426901
DRF_1,30,Anth,922,0.704244334795322,3.808822185672515
DRF_1,31,Anth,763,-0.0058342470760228,3.0987436038011698
DRF_1,32,Anth,518,-0.6325684001670835,2.472009450710109
DRF_1,33,Anth,656,-0.3707765507518799,2.7338013001253127
DRF_1,34,Anth,644,-0.416002245196324,2.6885756056808687
DRF_1,35,Anth,758,-0.13969298245614087,2.9648848684210516
DRF_1,36,Anth,877,0.507287097953218,3.6118649488304104
DRF_1,37,Anth,901,0.4960206505847957,3.600598501461988
DRF_1,38,Anth,480,-0.5508817616959056,2.5536960891812868
DRF_1,39,Anth,793,-0.10197368421052525,3.0026041666666674
DRF_1,40,Anth,718,-0.23548062865497071,2.869097222222222
DRF_1,41,Anth,784,-0.17947277046783677,2.925105080409356
DRF_1,42,Anth,765,-0.19987664473684197,2.9047012061403508
DRF_1,43,Anth,481,-0.5263980263157887,2.578179824561404
DRF_1,44,Anth,655,-0.35349049707602287,2.7510873538011698
DRF_1,45,Anth,469,-0.5442479897660808,2.5603298611111116
DRF_1,46,Anth,585,-0.46624177631578867,2.638336074561404
DRF_1,47,Anth,684,-0.3690835160818712,2.7354943347953213
DRF_1,48,Anth,497,-0.4962490862573099,2.6083287646198827
DRF_1,1,BW,1.99,-0.06917945906432932,3.0353983918128633
DRF_1,2,BW,1.88,-0.09072355367585783,3.013854297201335
DRF_1,3,BW,1.93,-0.07444522765246608,3.0301326232247265
DRF_1,4,BW,2.11,-0.3102247807017541,2.7943530701754384
DRF_1,5,BW,2.01,-0.26304171888053485,2.8415361319966577
DRF_1,6,BW,1.98,-0.08537359022556484,3.0192042606516276
DRF_1,7,BW,1.73,0.07888569078947294,3.1834635416666655
DRF_1,8,BW,1.75,0.0747346882832075,3.1793125391604002
DRF_1,9,BW,1.67,0.14049218097326574,3.2450700318504584
DRF_1,10,BW,2.06,-0.3815104166666661,2.7230674342105265
DRF_1,11,BW,1.85,-0.03908110119047728,3.0654967496867154
DRF_1,12,BW,2.03,-0.22288925438596413,2.8816885964912284
DRF_1,13,BW,2.01,-0.17740314327485374,2.927174707602339
DRF_1,14,BW,1.99,-0.043976477652465484,3.0606013732247273
DRF_1,15,BW,2.1,-0.4956003289473679,2.6089775219298246
DRF_1,16,BW,2.11,-0.4381213450292387,2.666456505847954
DRF_1,17,BW,1.9,-0.07390350877193097,3.0306743421052618
DRF_1,18,BW,2.02,-0.37264972326649876,2.731928127610694
DRF_1,19,BW,1.52,0.25144599780701893,3.3560238486842113
DRF_1,20,BW,1.73,0.047516577903090274,3.152094428780283
DRF_1,21,BW,1.48,0.3275013706140365,3.4320792214912292
DRF_1,22,BW,1.89,-0.0725580226608197,3.032019828216373
DRF_1,23,BW,1.73,0.0025105080409357217,3.107088358918128
DRF_1,24,BW,1.92,-0.07137015716374276,3.03320769371345
DRF_1,25,BW,1.6,0.2493352521929837,3.3539131030701763
DRF_1,26,BW,1.73,0.038623903508772095,3.1432017543859647
DRF_1,27,BW,1.77,0.03304746240601436,3.137625313283207
DRF_1,28,BW,1.75,0.07471217105263198,3.1792900219298246
DRF_1,29,BW,1.84,-0.07408625730994256,3.03049159356725
DRF_1,30,BW,1.97,-0.08765305190058556,3.016924798976607
DRF_1,31,BW,1.67,0.09935581140350923,3.203933662280702
DRF_1,32,BW,1.93,-0.04617174446533068,3.058406106411862
DRF_1,33,BW,1.87,-0.048974650167084854,3.0556032007101077
DRF_1,34,BW,1.82,-0.053634737886382955,3.05094311299081
DRF_1,35,BW,1.89,-0.06526635599415281,3.03931149488304
DRF_1,36,BW,1.95,-0.06670093201754441,3.037876918859648
DRF_1,37,BW,1.71,0.015730080409355807,3.1203079312865483
DRF_1,38,BW,1.69,0.07246436403508738,3.17704221491228
DRF_1,39,BW,1.73,0.08496893274853781,3.1895467836257305
DRF_1,40,BW,1.95,-0.042664930555556674,3.0619129203216358
DRF_1,41,BW,2.01,-0.2585137975146203,2.8460640533625723
DRF_1,42,BW,2.28,-0.48128883406432577,2.623289016812867
DRF_1,43,BW,1.8,0.007885599415203337,3.112463450292396
DRF_1,44,BW,1.83,0.02544316520467789,3.1300210160818707
DRF_1,45,BW,2.12,-0.23058525219298287,2.8739925986842096
DRF_1,46,BW,2.02,-0.30955546418128577,2.7950223866959067
DRF_1,47,BW,2.21,-0.4603047331871337,2.6442731176900587
DRF_1,48,BW,2.23,-0.5531684027777763,2.5514094480994163
DRF_1,1,Col,1,0.019508406432748426,3.124086257309941
DRF_1,2,Col,2,-0.01447172619047632,3.0901061246867165
DRF_1,3,Col,3,0.01229179720133683,3.1168696480785294
DRF_1,4,Col,4,0.005062134502924809,3.1096399853801175
DRF_1,5,Col,5,-0.014183897243107368,3.090393953634085
DRF_1,6,Col,6,-0.02569705513784487,3.0788807957393476
DRF_1,7,Col,1,0.0026201571637424204,3.107198008040935
DRF_1,8,Col,2,-0.005332014933166596,3.099245835944026
DRF_1,9,Col,3,0.023656471908939575,3.128234322786132
DRF_1,10,Col,4,0.03245614035087713,3.1370339912280696
DRF_1,11,Col,5,-0.018284317564744718,3.086293533312448
DRF_1,12,Col,6,-0.02130391081871387,3.0832739400584788
DRF_1,13,Col,1,0.02906615497075965,3.133644005847952
DRF_1,14,Col,2,-0.0025336779448619784,3.1020441729323305
DRF_1,15,Col,3,0.006766264619883333,3.111344115497076
DRF_1,16,Col,4,0.026411732456140424,3.130989583333333
DRF_1,17,Col,5,-0.011654788011695547,3.092923062865497
DRF_1,18,Col,6,-0.025372676482873557,3.079205174394319
DRF_1,19,Col,1,-0.040035635964912906,3.06454221491228
DRF_1,20,Col,2,-0.005843710839598948,3.098734140037594
DRF_1,21,Col,3,0.016419956140351022,3.1209978070175435
DRF_1,22,Col,4,0.016435946637427493,3.12101379751462
DRF_1,23,Col,5,-0.011449195906432758,3.09312865497076
DRF_1,24,Col,6,-0.027971948099414834,3.0766059027777777
DRF_1,25,Col,1,-0.043352521929824306,3.0612253289473683
DRF_1,26,Col,2,8.566337719296824e-4,3.1054344846491224
DRF_1,27,Col,3,0.006331910505430471,3.110909761382623
DRF_1,28,Col,4,0.02011832967836321,3.124696180555556
DRF_1,29,Col,5,-0.011940332602338843,3.092637518274854
DRF_1,30,Col,6,-0.022877832602339054,3.0817000182748537
DRF_1,31,Col,1,0.012639345760233737,3.1172171966374265
DRF_1,32,Col,2,0.005425020885547027,3.1100028717627395
DRF_1,33,Col,3,0.05506180816624895,3.1596396590434415
DRF_1,34,Col,4,0.0136509894527988,3.1182288403299916
DRF_1,35,Col,5,-0.04977613304093495,3.054801717836258
DRF_1,36,Col,6,-0.03259548611111157,3.071982364766081
DRF_1,37,Col,1,-0.014402869152047193,3.0901749817251454
DRF_1,38,Col,2,-6.647478070175294e-4,3.103913103070175
DRF_1,39,Col,3,0.08012381213450295,3.1847016630116958
DRF_1,40,Col,4,0.005875365497076762,3.1104532163742693
DRF_1,41,Col,5,-0.050253563596490525,3.054324287280702
DRF_1,42,Col,6,-0.049778417397661145,3.0547994334795314
DRF_1,43,Col,1,0.004397386695906669,3.1089752375730995
DRF_1,44,Col,2,0.05525173611111157,3.1598295869883044
DRF_1,45,Col,3,0.014606176900584689,3.119184027777777
DRF_1,46,Col,4,0.014601608187134296,3.119179459064327
DRF_1,47,Col,5,-0.026608187134502803,3.0779696637426897
DRF_1,48,Col,6,-0.07372304459064305,3.0308548062865497
DRF_1,1,Row,1,0.021358735380116955,3.1259365862573096
DRF_1,2,Row,1,0.031932696324143195,3.1365105472013357
DRF_1,3,Row,1,0.0241978644527987,3.1287757153299913
DRF_1,4,Row,1,0.015108735380116645,3.119686586257309
DRF_1,5,Row,1,0.009728748955722732,3.1143065998329154
DRF_1,6,Row,1,0.0018248746867165488,3.106402725563909
DRF_1,7,Row,2,0.00307474415204656,3.107652595029239
DRF_1,8,Row,2,-0.007801404553049285,3.096776446324143
DRF_1,9,Row,2,-0.0034474206349205255,3.101130430242272
DRF_1,10,Row,2,0.010147112573099137,3.114724963450292
DRF_1,11,Row,2,0.013310620300751919,3.1178884711779444
DRF_1,12,Row,2,-0.015638706140351386,3.088939144736841
DRF_1,13,Row,3,-0.0015213815789474339,3.103056469298245
DRF_1,14,Row,3,7.009711779447092e-4,3.1052788220551375
DRF_1,15,Row,3,-0.0270513523391821,3.0775264985380106
DRF_1,16,Row,3,-0.006327668128655317,3.0982501827485374
DRF_1,17,Row,3,0.006085526315789444,3.110663377192982
DRF_1,18,Row,3,-0.0013229688805349027,3.1032548819966577
DRF_1,19,Row,4,0.03185992324561382,3.1364377741228067
DRF_1,20,Row,4,-0.020801678675856194,3.0837761722013366
DRF_1,21,Row,4,0.03530473318713456,3.139882584064327
DRF_1,22,Row,4,0.05728481359649183,3.1618626644736842
DRF_1,23,Row,4,0.037520559210525745,3.1420984100877183
DRF_1,24,Row,4,0.025100511695905547,3.129678362573098
DRF_1,25,Row,5,0.030014163011696904,3.1345920138888896
DRF_1,26,Row,5,-0.007399031432748726,3.097178819444444
DRF_1,27,Row,5,-0.0046055894945697395,3.099972261382623
DRF_1,28,Row,5,0.039147021198830775,3.1437248720760236
DRF_1,29,Row,5,0.008198556286549363,3.112776407163742
DRF_1,30,Row,5,0.015433114035087125,3.1200109649122796
DRF_1,31,Row,6,-0.023672788742690465,3.080905062134502
DRF_1,32,Row,6,-0.002065384816207161,3.1025124660609853
DRF_1,33,Row,6,1.0475407268176196e-4,3.1046826049498746
DRF_1,34,Row,6,-0.013048571950710047,3.0915292789264828
DRF_1,35,Row,6,-0.03046646564327471,3.074111385233918
DRF_1,36,Row,6,-0.00871253654970805,3.095865314327485
DRF_1,37,Row,7,0.004173519736841824,3.1087513706140344
DRF_1,38,Row,7,-0.017413651315789036,3.0871641995614034
DRF_1,39,Row,7,0.01991273757309901,3.124490588450292
DRF_1,40,Row,7,-0.028986202485379448,3.0755916483918133
DRF_1,41,Row,7,-0.04656204312865453,3.058015807748538
DRF_1,42,Row,7,-0.06663925438596546,3.037938596491227
DRF_1,43,Row,8,0.06330637792397698,3.1678842288011695
DRF_1,44,Row,8,0.01702531067251488,3.1216031615497073
DRF_1,45,Row,8,0.06118192616959117,3.165759777046784
DRF_1,46,Row,8,-0.03623675073099414,3.0683411001461987
DRF_1,47,Row,8,-0.0476859466374277,3.056891904239765
DRF_1,48,Row,8,-0.02936312134502911,3.0752147295321635
DRF_1,1,TA,6.45,0.0981313961988301,3.202709247076023
DRF_1,2,TA,6,-0.039567669172932085,3.0650101817042605
DRF_1,3,TA,6.3,0.05120809837092721,3.15578594924812
DRF_1,4,TA,6.6,0.034740497076023336,3.139318347953216
DRF_1,5,TA,6.3,-0.030398261278195837,3.0741795895989967
DRF_1,6,TA,6.9,0.10855458959899761,3.21313244047619
DRF_1,7,TA,6.45,0.08143274853801152,3.186010599415204
DRF_1,8,TA,6.6,0.10944092000835337,3.214018770885546
DRF_1,9,TA,6.53,0.11217757936507966,3.216755430242272
DRF_1,10,TA,7.2,0.12785087719298202,3.2324287280701745
DRF_1,11,TA,6.6,0.11774227234753568,3.2223201232247285
DRF_1,12,TA,6.75,0.07208059210526224,3.176658442982455
DRF_1,13,TA,5.85,-0.10517178362573049,2.999406067251462
DRF_1,14,TA,5.7,-0.07389241332497887,3.0306854375522136
DRF_1,15,TA,6.75,0.0871299342105255,3.191707785087718
DRF_1,16,TA,7.28,0.19957510964912217,3.3041529605263147
DRF_1,17,TA,6.6,0.08485471491228096,3.1894325657894735
DRF_1,18,TA,6.6,0.08394293024227131,3.188520781119464
DRF_1,19,TA,5.55,-0.15514894005847957,2.949428910818713
DRF_1,20,TA,5.55,-0.12324365601503762,2.9813341948621552
DRF_1,21,TA,6,-0.07654422514619919,3.0280336257309934
DRF_1,22,TA,5.25,-0.15582510964912338,2.9487527412280694
DRF_1,23,TA,5.63,-0.10039290935672562,3.004184941520467
DRF_1,24,TA,6.75,0.08738121345029179,3.1919590643274844
DRF_1,25,TA,6.15,-0.036723318713450304,3.0678545321637425
DRF_1,26,TA,5.48,-0.12278417397660885,2.9817936769005837
DRF_1,27,TA,6.75,0.1091439536340848,3.2137218045112776
DRF_1,28,TA,6.6,0.06372441520467849,3.168302266081871
DRF_1,29,TA,6.45,0.0405656067251457,3.1451434576023383
DRF_1,30,TA,6.15,-0.04689327485380132,3.0576845760233913
DRF_1,31,TA,5.7,-0.12597770467836292,2.9786001461988296
DRF_1,32,TA,5.7,-0.09941324665831258,3.00516460421888
DRF_1,33,TA,6.15,-0.0029174498746863953,3.101660401002506
DRF_1,34,TA,7.13,0.1299133249791138,3.2344911758563066
DRF_1,35,TA,5.85,-0.16276041666666674,2.9418174342105257
DRF_1,36,TA,6.3,0.010398391812864727,3.1149762426900574
DRF_1,37,TA,4.8,-0.31292032163742456,2.7916575292397683
DRF_1,38,TA,6,-0.04725877192982525,3.0573190789473674
DRF_1,39,TA,6.23,-0.0050164473684209746,3.0995614035087717
DRF_1,40,TA,5.25,-0.16384320175438635,2.940734649122806
DRF_1,41,TA,5.85,-0.11335891812865445,2.9912189327485383
DRF_1,42,TA,5.78,-0.12094298245614055,2.983634868421052
DRF_1,43,TA,6.3,0.035677083333332804,3.1402549342105255
DRF_1,44,TA,6.08,-0.0045001827485381535,3.1000776681286544
DRF_1,45,TA,5.7,-0.06570266812865544,3.038875182748537
DRF_1,46,TA,5.55,-0.10327119883040925,3.0013066520467833
DRF_1,47,TA,5.85,-0.12617415935672555,2.9784036915204672
DRF_1,48,TA,6.3,-0.043996710526316374,3.0605811403508763
DRF_1,1,Temp,22.2,-0.07341922514619881,3.0311586257309937
DRF_1,2,Temp,22.2,-0.08729701858813677,3.017280832289056
DRF_1,3,Temp,22.2,-0.07749712823725985,3.0270807226399326
DRF_1,4,Temp,22.2,-0.07655336257310008,3.0280244883040925
DRF_1,5,Temp,22.2,-0.06885769110275686,3.035720159774436
DRF_1,6,Temp,22.2,-0.09933100981620613,3.0052468410609867
DRF_1,7,Temp,22.2,-0.06339546783625705,3.0411823830409355
DRF_1,8,Temp,22.2,-0.0625848475355053,3.0419930033416875
DRF_1,9,Temp,22.2,-0.0538814484126979,3.050696402464495
DRF_1,10,Temp,22.2,-0.03779696637426888,3.066780884502924
DRF_1,11,Temp,22.2,-0.04997519841269818,3.0546026524644945
DRF_1,12,Temp,22.2,-0.10264071637426991,3.001937134502923
DRF_1,13,Temp,22.2,-0.07751736111111107,3.0270604897660816
DRF_1,14,Temp,22.2,-0.1247376253132837,2.979840225563909
DRF_1,15,Temp,22.2,-0.03956048976608184,3.065017361111111
DRF_1,16,Temp,22.2,-0.048099415204678975,3.0564784356725134
